Alcohol;Malic_Acid;Ash;Ash_Alcanity;Magnesium;Total_Phenols;Flavanoids;Nonflavanoid_Phenols;Proanthocyanins;Color_Intensity;Hue;OD280;Proline;Customer_Segment
13.51;1.8;3.05;19;110;2.35;2.53;0.29;1.54;4.2;1.1;3.27;1095;1
13.48;2.21;2.41;20.5;100;2.7;3.38;0.26;2.26;5.1;1.04;3.47;920;1
13.28;2.04;3.24;15.5;110;2.6;3.08;0.34;1.36;4.6;1.09;3.18;880;1
13.05;2.05;2.55;18;98;2.45;2.43;0.29;1.44;4.25;1.12;2.51;1105;1
13.07;1.5;2.1;15.5;98;2.4;3.04;0.28;1.37;3.7;1.18;3.09;1020;1
14.22;4.39;2.51;13.2;128;3;3.04;0.2;2.08;5.1;1.29;3.53;760;1
13.56;2.11;2.31;16.2;117;3.15;3.29;0.34;2.34;6.13;1.35;3.38;795;1
13.41;4.24;2.12;18.8;90;2.45;3.08;0.27;1.48;4.28;1.31;3;1035;1
14.28;2.29;2.59;15;101;3.25;3.56;0.17;1.7;5.43;1.28;3.56;1095;1
13.24;4.38;2.29;17.5;103;3.04;3.03;0.32;2.06;4.36;1.22;3;680;1
13.05;2.17;2.1;17;107;3;3;0.28;2.03;5.04;1.28;3.35;885;1
14.21;4.04;2.44;18.9;111;3.25;3.05;0.3;1.25;5.24;1.27;3.33;1080;1
14.38;3.59;2.28;16;102;3.25;3.17;0.27;2.19;4.9;1.04;3.44;1065;1
13.9;2.08;2.12;16;101;3.1;3.39;0.21;2.14;6.1;1.31;3.33;985;1
14.1;2.02;2.4;18.8;103;3.15;3.32;0.32;2.38;6.2;1.07;3.15;1060;1
14.34;2.13;2.27;17.4;108;3.28;3.54;0.32;2.08;8.9;1.12;3.1;1260;1
13.05;2.13;2.04;12.4;92;3.12;3.27;0.17;3.31;7.2;1.12;3.31;1150;1
14.23;2.05;2.6;17.2;94;2.45;3.39;0.22;2.29;5.6;1.24;3.37;1265;1
14.22;2.15;2.42;14;111;4.28;4.14;0.32;2.27;7.05;1.01;3.26;1190;1
14.17;1.9;3.08;17.1;115;3;3.19;0.39;2.08;6.3;1.13;3.33;1375;1
14.14;2.07;2.25;16.4;118;2.6;2.9;0.21;2.02;6.25;1.32;3.2;1060;1
13.56;2.13;2.46;20.5;116;3.36;3.18;0.2;2.45;6.25;1.38;3.03;1120;1
14.22;1.7;2.3;16.3;118;3.2;3;0.26;2.03;6.38;1.34;3.31;970;1
13.29;2.37;3.08;16.8;102;3;3.23;0.31;2.06;6;1.07;3.24;1270;1
14.12;1.43;2.5;16.7;108;3.4;4.07;0.19;2.04;6.8;1.29;3.27;1285;1
12.37;1.34;1.36;10.6;88;2.38;0.57;0.28;0.42;2.35;1.05;2.22;520;2
12.33;1.1;2.28;16;101;2.05;1.09;1.03;0.41;3.27;1.25;2.07;680;2
13.04;1.36;2.02;16.8;100;2.02;1.41;0.53;1.02;6.15;1.38;1.59;450;2
14.07;1.25;2.32;18;94;2.1;2.19;0.32;1.13;3.8;1.23;2.46;630;2
12.37;1.13;2.16;19;87;3.5;3.1;0.19;2.27;4.45;1.22;3.27;420;2
12.17;1.45;2.53;19;104;2.29;2.15;0.45;1.03;3.35;1.45;2.23;355;2
12.37;1.21;2.56;18.1;98;2.42;3.05;0.37;2.08;4.6;1.19;2.3;678;2
13.11;1.01;1.7;15;78;3.38;3.18;0.26;2.28;5.3;1.12;3.18;502;2
12.37;1.17;2.32;19.6;78;2.11;2;0.27;1.04;5.08;1.12;3.48;510;2
13.34;1.34;2.36;17;110;2.53;1.3;0.55;0.42;3.17;1.02;2.33;750;2
12.21;1.19;2.15;16.8;151;2.25;1.28;0.14;2.5;3.25;1.28;3.07;718;2
12.29;2.01;2.21;20.4;103;1.1;1.02;0.37;1.46;3.05;15.06;2.22;870;2
14.26;1.51;3.07;25;86;3.35;3.26;0.21;2.27;3.38;1.36;3.16;410;2
13.49;2.06;2.24;24;87;2.28;2.24;0.27;1.03;4.14;1.38;3.18;472;2
13.39;2.07;2.6;30;139;3.3;3.29;0.21;2.36;3.35;1.31;3.5;985;2
12.36;1.09;2.3;21;101;3.38;2.14;0.13;2.05;3.21;1.39;3.13;886;2
12.06;2.28;2.32;16;97;2.01;1.57;0.34;1.15;3.8;1.23;2.14;428;2
13.03;0.9;2.11;16;86;2.35;2.03;0.24;1.46;4.6;1.19;2.48;392;2
12.24;3.29;2.23;18;112;2.12;1.32;0.43;1.35;3.05;1.36;2.52;500;2
12.33;1.39;2.35;14.8;136;1.9;2.25;0.35;3.16;3.4;1.06;2.31;750;2
12.7;4.27;2.4;23;101;3.23;2.55;0.43;2.35;2.57;1.19;3.13;463;2
12;1.32;2;19;86;2.42;2.26;0.3;1.43;2.5;1.38;3.12;278;2
13.12;2.21;2.2;18.8;86;2.2;2.53;0.26;2.17;3.9;1.16;3.14;714;2
12.08;1.13;2.51;24;78;2;1.58;0.4;1.4;2.2;1.31;3.12;630;2
13.05;4.26;2.32;22.5;85;2.05;1.59;1.01;2.02;4.8;1.24;2.01;515;2
12.24;1.29;2.58;18;94;2.2;2.21;0.22;2.35;3.05;1.19;3.08;520;2
13.07;1.38;2.24;18;99;2.2;2.34;0.3;1.46;3.02;1.23;3.16;450;2
12.16;2.01;2.31;22.8;90;2.18;2.09;0.43;1.56;2.45;1.33;2.26;495;2
12.05;2.07;3.02;26;88;2.32;2.01;0.4;1.34;2.6;1.36;3.21;562;2
12.04;2.06;2.46;21.6;84;2.35;2.09;0.48;1.35;2.8;1;3.15;680;2
12.08;1.33;2.3;23.6;70;2.2;1.59;0.42;1.38;2.14;1.07;3.21;625;2
12.08;2.23;2.32;18.5;81;1.6;1.5;0.52;2.04;2.4;1.08;2.27;480;2
12;1.51;2.42;22;86;1.45;1.25;0.5;2.03;3.6;1.05;3.05;450;2
13.09;1.53;2.26;20.7;80;1.38;1.46;0.58;2.02;3.05;1.36;2.06;495;2
12.29;3.23;2.22;18;88;2.45;2.25;0.25;2.39;2.15;1.15;3.3;290;2
12.02;2.39;2.28;18;98;3.02;2.26;0.17;1.35;3.25;1.16;3.36;345;2
12.47;1.52;2.2;19;162;2.5;2.27;0.32;3.28;2.6;1.16;3.03;937;2
12.21;2.12;3.14;21.5;134;1.6;1.39;0.14;1.56;2.5;1.35;2.26;625;2
12.29;1.41;2.38;16;85;2.55;2.5;0.29;2.17;2.9;1.23;3.14;428;2
12.37;1.07;2.1;18.5;88;3.52;4.15;0.24;2.35;4.5;1.04;3.17;660;2
12.29;3.17;2.21;18;88;3.25;3.39;0.45;3.21;2.3;1.42;3.23;406;2
12.08;2.08;1.7;17.5;97;2.23;2.17;0.26;1.4;3.3;1.27;3.36;710;2
12.6;1.34;1.9;18.5;88;1.45;1.36;0.29;1.35;2.45;1.04;3.17;562;2
12.34;2.45;2.46;21;98;2.56;2.11;0.34;1.31;2.8;0.8;3.38;438;2
12.22;2.12;2.28;19.5;86;2.5;2.04;0.37;1.42;2.06;1.34;2.44;415;2
12.51;2.13;2.38;20.5;85;2.2;2.32;0.32;1.48;3.34;1.04;3.57;672;2
12.42;2.55;2.27;22;90;2.08;2.24;1.06;1.42;2.7;1.26;3.3;315;2
12.25;2.13;2.12;19;80;2.05;2.03;0.37;2.03;3.4;1;3.17;510;2
13.12;2.15;2.28;22.5;84;1.38;2.16;0.48;2.03;3.3;1.28;2.42;488;2
12.22;1.29;2.34;19;92;2.36;2.04;0.39;2.08;2.7;1.26;3.02;312;2
12.01;1.35;2.7;20;94;3.14;3.32;0.29;2.49;3.05;1.36;3.26;680;2
11.46;4.14;2.22;19.5;107;3.18;2.58;0.24;3.58;2.9;1.15;3.21;562;2
12.52;2.43;2.17;21;88;2.55;2.27;0.26;1.22;2;0.9;3.18;325;2
12.16;3.08;3.32;20;103;2.15;2.03;0.6;1.05;3.8;1.23;2.5;607;2
11.41;1.14;2.5;21;88;2.48;2.01;0.42;1.44;3.08;1.1;2.31;434;2
12.08;1.39;2.5;22.5;84;2.56;2.29;0.43;1.04;2.9;1.33;3.19;385;2
11.03;1.51;2.2;21.5;85;2.46;2.17;0.52;2.01;1.9;2.11;3.27;407;2
12.22;1.47;2.39;20.8;86;2.38;1.6;0.3;1.53;2.35;1.35;3.33;495;2
12.42;2.01;2.19;22.5;108;2;2.09;0.34;2.01;2.06;1.06;3.36;345;2
13.17;3.43;2.38;16;80;2.03;1.25;0.43;1.23;3.4;0.7;2.12;372;2
12;3.43;2;19;87;2;2.04;0.37;2.27;1.28;1.33;3.05;564;2
11.45;2.4;2.42;20;96;2.9;3.19;0.32;2.23;3.25;0.8;3.39;625;2
11.56;2.05;3.23;28.5;119;3.18;5.08;0.47;2.27;6;1.33;4.09;465;2
12.42;4.43;3.13;26.5;102;2.2;2.13;0.43;2.11;2.08;1.32;3.12;365;2
13.05;5.8;2.13;21.5;86;3.02;3.05;0.3;2.01;2.6;1.13;3.1;380;2
12.27;4.31;2.39;21;82;3.26;3.03;0.21;3.31;2.8;1.15;4.04;380;2
12.07;2.16;2.17;21;85;2.6;3.05;0.37;1.35;3.16;1.26;3.28;378;2
12.43;1.53;2.29;21.5;86;3.14;3.15;0.39;2.17;4.34;1.09;3.24;352;2
12.19;2.13;3.18;28.5;92;2.13;2.24;0.58;2.16;3;1.37;2.44;466;2
12.37;2.03;2.3;24.5;88;2.22;2.45;0.4;1.9;2.12;1.29;3.18;342;2
12.04;4.3;2.38;22;80;2.1;2.15;0.42;1.35;2.6;1.19;2.57;580;2
13.26;1.35;2.32;18;122;1.51;1.25;0.21;1.34;4.1;1.16;1.29;630;3
13.28;3.39;2.4;20;104;1.3;1.22;0.24;1.23;5.4;1.14;1.42;530;3
13.21;2.31;2.4;24;98;1.15;1.09;0.27;1.23;5.7;1.06;1.36;560;3
12.7;3.55;2.36;21.5;106;1.7;1.2;0.17;1.24;5;1.18;1.29;600;3
12.51;1.24;2.25;17.5;85;2;0.58;0.6;1.25;5.45;1.15;1.51;650;3
12.6;2.46;2.2;18.5;94;2.02;1.06;1.03;1.34;7.1;1.13;1.58;695;3
12.25;5.12;2.54;21;89;1.38;0.47;0.53;0.8;4.25;1.15;1.27;720;3
12.53;5.51;3.04;25;96;2.19;0.6;1.03;1.1;5;1.22;2.09;515;3
13.49;3.59;2.19;19.5;88;2.02;0.48;0.58;1.28;5.7;1.21;2.22;580;3
13.24;3.36;3.01;24;101;2.32;0.6;0.53;1.21;5.32;1.29;2.15;590;3
13.33;3.21;2.7;21;96;1.54;0.5;0.53;1.15;4.6;1.17;2.31;600;3
13.36;2.56;2.35;20;89;1.4;0.5;0.37;1.04;5.6;0.7;2.47;780;3
13.52;3.17;3.12;23.5;97;1.55;0.52;0.5;0.55;4.35;1.29;2.06;520;3
14.02;5.35;2.35;20;92;2;0.8;0.47;1.02;4.4;1.31;2.05;550;3
12.25;4.28;2.2;18.5;112;1.38;1.18;0.29;1.14;8.21;1.05;2;855;3
13.16;3.57;2.15;21;102;1.5;0.55;0.43;1.3;4;0.6;2.08;830;3
14.28;5.04;2.23;20;80;1.38;0.34;0.4;1.08;4.9;0.58;1.33;415;3
13.27;5.01;2.48;21.5;86;1.7;1.05;0.47;1.26;8.05;0.54;2.26;625;3
13.32;3.24;2.38;21.5;92;2.33;1.16;0.45;1.25;8.42;0.55;2.02;650;3
13.08;3.9;2.36;21.5;113;1.41;1.39;0.34;1.14;9.4;0.57;1.33;550;3
13.5;3.12;3.02;24;123;1.4;1.57;0.22;1.25;8.6;0.59;1.3;500;3
13.19;3.07;2.48;22;112;1.48;1.36;0.24;1.26;10.8;0.48;1.47;480;3
13.11;1.9;3.15;25.5;116;2.2;1.28;0.26;1.56;7.1;1.01;1.33;425;3
13.23;3.3;2.28;18.5;98;1.8;1.23;1.01;2.27;10.52;0.56;1.51;675;3
12.58;1.29;2.1;20;103;1.48;0.58;0.53;1.4;7.6;0.58;1.55;640;3
13.17;5.19;2.32;22;93;2.14;1.03;1.01;1.55;7.9;0.6;1.48;725;3
14.24;4.12;2.38;19.5;89;1.8;1.23;0.48;1.56;9.01;0.57;2.04;480;3
12.45;3.03;3.04;27;97;1.9;0.58;1.03;1.14;7.5;1.07;2.13;880;3
14.34;2.08;2.7;25;98;2.8;1.31;0.53;2.7;13;0.57;2.36;660;3
13.48;2.07;3.04;22.5;89;2.6;1.1;0.52;2.29;12.15;0.57;2.18;620;3
12.36;4.23;2.38;21;88;2.3;1.32;0.5;1.04;8.05;0.56;1.58;520;3
14.09;3.26;2.54;20;107;2.23;0.56;0.5;0.8;6.28;1.36;2.22;680;3
13.25;3.27;2.58;22;106;2.05;0.6;0.6;1.36;5.58;1.27;2.11;570;3
13.36;3.45;2.35;18.5;106;1.39;0.7;0.4;1.34;5.28;1.08;2.15;675;3
14.18;3.16;2.3;22;90;1.35;1.08;0.41;1.03;9.58;0.7;2.08;615;3
14.13;4.36;2.26;22.5;88;1.28;0.47;0.52;1.15;7.02;1.18;2.15;520;3
13.45;3.7;2.6;23;111;1.7;1.32;0.43;1.46;11.08;1.25;1.56;695;3
13.22;3.37;2.3;19.5;88;1.48;1.06;0.4;1.37;10.26;1.12;2.15;685;3
13.58;2.58;3.09;24.5;105;1.55;1.24;0.39;1.54;9.06;1.14;1.8;750;3
13.4;4.6;3.26;25;112;2.38;1.36;0.27;1.11;8.5;1.07;2.32;630;3
12.2;3.03;2.32;19;96;1.25;0.49;0.4;1.13;5.5;1.06;2.23;510;3
13.17;2.39;2.28;19.5;86;1.39;0.51;0.48;1.04;15008.59.00;0.57;2.03;470;3
14.16;2.51;2.48;20;91;2.08;0.7;0.44;1.24;9.7;1.02;2.11;660;3
14.11;6.05;2.45;20.5;95;2.08;1.01;0.52;1.06;7.7;1.04;2.14;740;3
13.4;4.31;2.48;23;102;1.8;1.15;0.43;1.41;7.3;0.7;1.56;750;3
13.27;4.28;2.26;20;120;1.59;1.09;0.43;1.35;10.2;0.59;1.56;835;3
13.17;2.59;2.37;20;120;2.05;1.08;0.53;1.46;9.3;0.6;2.02;840;3
14.13;4.1;3.14;24.5;96;2.05;1.16;0.56;1.35;9.2;1.01;1.6;560;3
